# Phonetic series according to 上古音系 (Old Chinese Phonology), by 鄭張尚芳 (Shangfang Zhengzhang), 2003.
# Downloaded from https://en.wiktionary.org/wiki/Wiktionary:About_Chinese/phonetic_series and /phonetic_series_2
component,IPA,members
及,(*ɡrɯb),趿鈒靸馺砐魥扱笈衱极昅雭急級汲芨伋彶及岌吸
反,(*panʔ),扳板版瓪昄鈑蝂眅阪魬粄反返坂畈販汳飯
叕,(*tod),蝃欼綴醊畷啜餟腏錣輟娺窡鵽掇剟裰敠惙罬叕歠逫
取,(*sʰloːʔ),陬棷掫緅趣取鯫棸鄹郰齱菆箃黀驟最襊蕞嘬諏娵娶聚埾藂叢繓撮
受,(*tuːs),受綬授
叚,(*kraːʔ),葭麚瘕豭貑猳犌假嘏婽椵叚蝦煆霞遐瑕鰕碬蕸赮鍜騢暇
叟,(*suːʔ),㮴艘嫂瞍謏叜叟傁廋醙遚餿搜颼溲鎪獀鄋螋騪瘦
口,(*kʰoːʔ),口叩扣釦筘
古,(*kaːʔ),箇個居橭嫴姑辜酤蛄鴣沽盬古罟估鈷詁牯故固稒痼錮鯝棝凅枯軲跍骷苦葫餬瑚湖鶘猢醐糊箶蝴胡瓳怙祜岵婟楛据裾琚椐鶋蜛崌涺腒鋸倨踞涸
句,(*koː),勾鉤鴝句夠枸軥狗苟岣笱玽耇豿敂怐雊竘齁呴蚼豞訽佝拘駒眗跔鮈痀蒟絇邭劬朐鼩斪翑葋姁欨喣煦昫
只,(*klje),只胑疻軹咫枳抧伿齞
可,(*kʰaːlʔ),砢柯菏牁滒哥歌謌鴚哿舸笴軻珂可岢坷蚵呵訶抲荷何河苛魺袔阿妸疴鈳娿痾跒閜
台,(*l̥ʰɯː),胎台邰鮐孡苔抬駘炱菭跆殆怠迨紿詒軩咍佁枲辝鈶笞齝眙治始怡貽飴瓵珆
史,(*srɯʔ),吏倳剚事史使駛
号,(*ɦlaːws),饕號号枵呺鴞
司,(*slɯ),司伺覗笥詞祠柌嗣孠飼呞
