# Phonetic series according to 上古音系 (Old Chinese Phonology), by 鄭張尚芳 (Shangfang Zhengzhang), 2003.
# Downloaded from https://en.wiktionary.org/wiki/Wiktionary:About_Chinese/phonetic_series and /phonetic_series_2
component,IPA,members
甾,(*ʔsrɯ),輜淄錙緇甾菑鶅椔鯔
畀,(*pids),箅濞畀痹淠嚊鼻襣
畁,(*ɡlɯ),畁萆
畏,(*quls),煨偎隈椳鰃渨葨揋猥嵔鍡碨腲餵畏
畐,(*pʰrɯɡ),富輻副褔蔔匐逼偪幅楅湢堛愊踾揊稫畐疈腷鶝福蝠葍
畜,(*l̥ʰuɡs),畜蓄稸滀傗鄐慉
畝,(*mɯʔ),畝畞
畟,(*sklɯɡ),稷畟溭謖
畢,(*pid),畢蓽篳蹕韠滭鷝熚彃縪饆鏎罼
番,(*paːl),皤嶓番播譒鄱潘蟠磻蕃轓鱕鐇藩籓橎翻幡飜旛繙燔蹯膰羳鷭璠襎墦
畫,(*ɡʷreːɡs),畫澅繣劃嫿
異,(*lɯɡs),禩異潩廙趩瀷翼熼
畺,(*kaŋ),畺畕礓繮韁橿薑疆壃僵彊麠
畾,(*ruːl),摞騾螺蔂虆瘰礌雷擂攂礧儡瓃櫑鑘鐳畾轠罍蕾癗磥累儽樏鸓嫘纍欙纝壘櫐蘽藟讄
疊,(*l'ɯːb),曡疊
疋,(*ŋraːʔ),疋蝑壻婿胥稰楈諝湑揟醑糈楚礎憷齼濋儊綀疎疏蔬梳
疌,(*zeb),疀萐箑啑睫婕緁捷疌寁倢崨踕誱徢蜨
疐,(*tiːɡs),啑疐嚏懥
疑,(*ŋɯ),礙儗懝譺癡疑嶷觺擬薿凝
疹,(*kljɯnʔ),沴趁紾跈殄抮駗珍診畛疹軫胗袗眕飻餮
疾,(*zid),嫉疾蒺愱槉
癸,(*kʷilʔ),睽湀聧藈癸葵鄈楑戣鍨騤揆猤闋
癹,(*pʰaːd),發癹
登,(*tɯːŋ),登璒燈簦蹬磴鐙嶝隥橙凳墱鼟膯澄鄧僜覴瞪憕撜證
發,(*pad),廢癈橃撥鱍襏驋鏺潑醱
白,(*braːɡ),怕帕粕胉泊箔魄皕伯百迫敀柏湐拍珀皛洦白帛舶鮊陌帞袹蛨貊佰銆碧咟
皃,(*mreːwɢs),貌皃藐邈
皆,(*kriːl),皆偕階喈稭堦楷鶛湝蝔鍇揩諧瑎龤
皋,(*kuː),睾皋
皐,,臯橰鷱翱翺噑獋暭
皮,(*bral),陂詖彼柀佊貱跛披鈹帔鮍耚狓翍旇秛紴皮疲被髲鞁骳波碆菠簸駊頗坡玻破婆蔢
皿,(*maŋʔ),猛艋蜢皿孟
盈,(*leŋ),盈楹
益,(*qleɡ),隘賹搤縊螠謚諡蠲溢鎰齸貖益嗌膉鷁艗
盍,(*ɡaːb),蓋盖溘搕嗑榼磕瞌盍闔篕熆鰪廅圔饁
盡,(*ʔslinʔ),濜盡賮燼藎壗璶
監,(*kraːm),藍襤籃懢儖蘫攬欖覽爁擥灠濫嚂纜監礛鑑艦檻壏轞鹽
目,(*muɡ),瞐苜目
直,(*dɯɡ),置值植埴惪德稙淔直犆殖
相,(*slaŋ),相廂湘緗箱葙想霜孀鸘驦
盾,(*l'uːnʔ),盾遁循揗楯輴腯鍎
省,(*sreŋʔ),省渻箵
眉,(*mril),眉楣嵋湄鶥瑂郿葿媚篃蝞煝
眔,(*l'uːb),褱鰥鳏嚃眔遝
真,(*ʔljin),寘䡩黰顛滇齻槙瘨傎蹎厧巔癲瑱填窴闐磌鷏嗔搷鎮縝真禛稹蒖鬒瞋謓慎
眾,(*tjuŋ),潨眾
睘,(*ɡʷeŋ),癏擐還環鬟寰闤糫圜鐶轘澴繯檈儇翾蠉嬛譞懁獧噮彋睘
睪,(*neb),斁籜蘀鐸凙襗擇澤鸅蠌檡釋繹睪譯嶧懌驛醳圛墿燡
睿,(*ɢʷeds),睿叡璿壡濬
瞿,(*kʷas),瞿衢氍癯蠷臞欋鸜灈躣忂戵鑺懼
矍,(*kʷaɡ),钁攫矍躩玃貜彏戄籰
矛,(*mu),堥蓩猱茅罞蝥鶜瞀愗袤雺懋楙矛蟊髳鍪鞪糅腬柔揉蹂鍒騥蝚葇鞣鰇瑈鶔楺煣輮韖敄務鶩騖婺霚嵍霧霿楘
矞,(*ɢʷid),瞲璚劀鱊譎潏鐍憰噊驈橘繘獝燏遹鷸矞霱
矢,(*hliʔ),彘璏薙知蜘智鼅潪踟雉矢痴
矣,(*ɢlɯʔ),唉埃欸娭挨騃俟竢涘誒矣
石,(*djaɡ),柘妬蠹沰拓橐袥驝斫磭磔跖石碩祏鉐鼫
砉,(*qʰʷraːɡ),剨湱砉
磊,(*ruːlʔ),藞磊
示,(*ɡle),示祁狋視眎沶
祘,(*sloːns),蒜祘
祝,(*tjuɡs),祝呪咒柷
票,(*pʰew),標鏢瘭幖熛蔈膘褾票飄漂螵瞟嫖旚僄慓彯摽翲嘌縹醥顠篻剽勡薸瓢鰾驃
祭,(*ʔsreːds),蔡瘵祭際穄鰶傺摖擦攃礤察詧
禀,,燷壈燣顲稟廩懍凜癛檁
禹,(*ɢʷaʔ),踽萭聥楀齲禹瑀鄅
禺,(*ŋo),齵偶耦藕髃蕅愚隅禺湡堣嵎鰅鍝遇寓庽媀喁顒
离,(*rel),謧璃離縭离醨樆褵漓黐籬灕蘺攡魑螭摛
禾,(*ɡoːl),科萪蝌犐禾和咊盉龢鉌俰
禿,(*tʰoːɡ),禿鵚
秀,(*slus),透莠誘蜏琇秀銹
秉,(*praŋʔ),秉棅
秋,(*sʰɯw),鍫篍愀湫揪揫啾鬏秋鰍楸秌鞦鶖萩甃醔愁僽
秝,(*reːɡ),秝歷曆磿靂癧櫪藶瀝攊厤
秦,(*zin),轃秦螓臻蓁搸溱榛
秭,(*ʔsiʔ),姊秭趀笫胏柹柿
穴,(*ɡʷliːɡ),泬坹穴袕鴪
突,(*tʰuːd),突宊揬鼵葖鶟堗
竄,(*sʰoːn),躥竄攛鑹
立,(*rɯb),涖莅蒞位拉菈颯立粒笠砬岦苙鴗雴泣
竟,(*kraŋs),滰境竟鏡獍樈璄摬
章,(*kjaŋ),章樟彰漳鄣璋嫜獐慞墇障麞蔁暲嶂瘴
竹,(*tuɡ),竺篤竹筑築茿
筮,(*djads),噬筮簭澨遾
算,(*sloːnʔ),纂繤算匴篹篡攥
簋,(*kʷrɯwʔ),簋孂
米,(*miːʔ),謎迷米眯洣蔝麊冞糜敉侎麋蘪攗
粟,(*soɡ),粟憟
粥,(*ʔljuɡ),粥鬻
粦,(*rins),潾膦憐燐鄰轔嶙粼磷疄麟鱗璘翷瞵獜驎鏻繗僯橉撛遴粦甐
粲,(*sʰaːns),餐湌粲燦璨薒殩
糞,(*pɯns),糞瀵
系,(*ɡeːɡs),係系
素,(*saːs),素傃嗉膆塐
索,(*slaːɡ),索溹
絕,(*zod),蕝脃脆絕
絲,(*slɯ),絲蕬鷥
綿,(*men),綿棉緜矊
緐,(*ban),繁緐蘩瀿瀪
縣,(*ɡʷeːn),縣懸
繇,(*lɯːw),繇蘨櫾
繭,(*keːnʔ),襺繭蠒
繼,(*keːɡs),繼檵
缶,(*puʔ),寶珤缶缹
罙,(*hljum),探棎賝琛穼深
罪,(*zuːlʔ),罪辠𢶀
罰,(*bad),罰藅
罷,(*breːlʔ),擺犤罷矲羆襬藣
罽,(*krads),罽瀱蘮
羅,(*raːl),羅蘿籮儸饠欏囉鑼邏
羊,(*laŋ),样佯詳洋翔庠祥痒姜羌蜣猐唴羊徉烊蛘眻鴹恙羕樣漾
羋,(*meʔ),羋蝆
羍,(*tʰaːd),羍達闥撻躂澾薘
美,(*mriʔ),美渼媄
羔,(*kluː),羔糕餻窯溔
羴,(*qʰreːn),羴羼
羽,(*ɢʷaʔ),詡栩珝祤羽頨
翏,(*ɡ·rɯːw),醪嫪嘐賿顟膠轇摎髎熮廖憀豂漻翏寥蓼鄝鷚繆勠疁飂鏐僇瘳璆謬蟉樛磟戮剹穋
習,(*ljub),摺磖褶慴霫習鰼騽飁槢熠
翟,(*r'aːwɢ),櫂濯耀曜燿糶粜嬥藋躍戳擢蠗鸐翟趯籊糴䊮
翪,(*ʔsoːŋ),艐堫葼鬷嵕猣鯼椶騣蝬翪緵稯鬉糉
老,(*ruːʔ),老姥栳恅
者,(*tjaːʔ),觰諸者堵赭撦扯闍奢鍺都醏覩睹暏賭帾楮屠瘏廜鷵緒豬猪瀦藸櫫褚著箸儲躇櫧藷蠩煮渚煑陼翥署薯曙書暑鐯擆櫡
而,(*njɯ),耐耏而鮞鴯栭陑峏輀胹洏髵恧
耎,(*njonʔ),陾腝堧稬愞煗餪渜偄瑌軟輭蝡碝耎緛媆
耑,(*toːn),揣褍惴圌篅瑞端剬偳鍴耑踹湍煓貒諯顓喘遄輲椯歂腨
耒,(*ruːls),頛郲耒銇洡誄
耳,(*njɯʔ),佴麛弭渳葞髶聻恥咡誀耳洱駬餌珥衈毦刵眲
耴,(*ŋrid),踂輒耴鮿
耶,(*laː),耶椰爺瑘鎁
耿,(*kreːŋʔ),耿褧
聖,(*hljeŋs),檉蟶聖聽廳
聶,(*neb),攝聶鑷躡襵懾囁欇灄顳讘
聿,(*b·lud),筆潷硉律葎聿銉
肁,(*dawʔ),肁肇
肅,(*sɯwɢ),簫蕭瀟潚彇蟰橚嘯歗熽繡鏽肅鷫驌鱐璛
肉,(*njuɡ),朒肉
肖,(*slew),梢捎筲鞘艄蛸髾輎旓弰鮹綃颵莦娋稍哨揱潲睄悄俏峭陗帩誚消宵霄硝銷逍魈痟焇肖韒趙箾踃削矟
肘,(*tkuʔ),肘疛紂葤酎
肙,(*qʷeːns),絹狷蜎弲娟悁捐涓鵑睊焆鞙埍罥羂瓹梋鋗駽琄剈肙
股,(*klaːʔ),股羖
肥,(*bɯl),蜰肥淝萉
肩,(*keːn),顅掮肩猏菺鵳
肯,(*kʰɯːŋʔ),肯肎
肰,(*njen),嘫然肰繎燃蹨橪撚
育,(*luɡ),育毓棛錥焴淯蜟堉逳蘛
胃,(*ɢuds),喟胃謂媦蝟渭煟緭
胤,(*lins),胤酳
能,(*nɯː),態能螚褦
脊,(*ʔseɡ),脊蹐鶺塉瘠膌
臣,(*ɡiŋ),臤掔慳藖堅鋻鰹蜸菣賢礥臔挋臣茞腎頣緊嚚鏗摼硻
臦,(*kʷaŋs),臩臦
自,(*ɦljids),郋自洎臮垍詯
臬,(*ŋeːd),甈臬嵲臲闑
臭,(*kʰljus),臭殠糗嗅齅
臱,(*men),臱矏櫋籩邊
至,(*tjiɡs),致輊駤跮荎緻至鵄胵痓咥窒蛭垤耋姪絰恎挃庢銍秷螲侄桎郅晊室
臺,(*dɯː),懛儓臺擡薹嬯檯籉
臼,(*ɡuʔ),臼齨桕舅舊匶閰
臽,(*kʰloːmʔ),萏窞惂輡錎埳臽淊欿蜭啗鵮餡陷爓諂讇閻焰壛櫩燄掐
臾,(*ɡruds),萸臾腴諛楰庾斞
臿,(*sʰreːb),偛插鍤臿喢牐歃敮
舀,(*lowʔ),滔韜縚謟慆幍槄搯瑫稻蹈舀
舁,(*la),攑藇嶼鱮舉櫸舁與輿旟璵歟譽嬩擧鸒礜穥
舂,(*hljoŋ),樁憃舂摏蹖
舄,(*sʰjaːɡ),寫瀉舄獡潟磶蕮
興,(*qʰɯŋ),興臖嬹
舌,(*ɡroːd),絬舌
舛,(*tʰjonʔ),舛荈僢舜瞬蕣
舟,(*tjɯw),鵃輈侜矪舟
般,(*praːn),螌般媻搫搬盤磐瘢幋槃縏鎜鞶
艮,(*kɯːns),艱齦眼蛝限硍豤詪根跟珢艮茛墾懇垠泿痕拫鞎很恨銀檭
良,(*raŋ),剆郎稂桹鋃硠浪蜋琅狼欴踉莨艆駺躴筤閬哴蓈廊榔螂瑯朗朖誏俍崀埌蒗娘良粮悢
色,(*srɯɡ),色赩
芇,(*men),芇蹣瞞顢樠慲鬗滿鏋懣璊
芻,(*sʰro),煼謅縐鄒騶搊皺篘㑳趍趨芻犓雛鶵媰齺
苗,(*mrew),貓描媌緢苗猫庿
若,(*nja),若婼惹諾蠚逽蹃箬楉鄀
茍,(*kɯɡ),亟茍殛極
茸,(*njoŋ),茸髶搑榵穁
茻,(*maːŋʔ),莽茻
莫,(*maːɡ),蟆鬕饃模摸嫫謨膜摹暮慕募墓慔莫寞漠幕鏌瘼鄚瞙嗼塻貘驀
莽,(*maːŋʔ),蟒漭
菐,(*boːɡ),樸璞墣撲轐獛蹼襆濮纀醭僕菐穙鏷幞
華,(*qʰʷraː),鞾華譁樺嘩驊鏵崋
萈,(*ɡoːn),寬髖萈臗
萬,(*mlans),糲犡噧邁勱蠆厲勵礪蠣蠇癘濿櫔巁贎萬
葬,(*ʔsaːŋs),髒葬
蒦,,檴鱯護頀濩韄鳠擭瓁劐穫鑊矆鸌雘蠖臒嬳彠嚄獲
蔑,(*meːd),礣蔑篾蠛懱幭鱴衊瀎襪韤韈
薛,(*sŋed),躠嶭櫱薛辥孼蘖蠥孽糵
薦,(*ʔseːns),瀳韉薦
虍,(*qʰaː),唬戲巇隵嚱盧鑪壚籚蘆顱髗鱸攎櫨轤黸獹鸕艫纑瀘瓐爐嚧矑罏蠦虜擄艣鐪虖虍雐虎琥萀臚廬驢藘爈櫖儢慮勴鑢濾攄處豦據鐻澽虛墟懅蘧籧醵璩虡遽勮嘘驉歔魖膚虧噱臄劇諕
虐,(*ŋawɢ),虐瘧謔
虒,(*sle),擨搋鷈謕嗁蹏鼶遞虒榹磃傂螔禠褫篪歋
虔,(*ɡren),虔鰬榩
蚤,(*ʔsuːʔ),蚤慅騷搔鰠溞颾瘙瑵糔鼜
蜀,(*djoɡ),襡噣斣歜斀孎濁鐲鸀擉獨髑韣斸钃欘躅蠋燭囑矚屬属蠾觸臅觕蜀
蟲,(*l'uŋ),痋鉵赨爞蟲融瀜
蠃,(*roːl),驘鸁蠃臝羸
蠡,(*reːlʔ),盠欚劙
血,(*qʰʷiːɡ),侐血恤卹賉欰洫殈
行,(*ɡaːŋ),筕桁行胻衡蘅珩洐荇絎
衍,(*lanʔ),愆衍
衛,(*ɢʷads),衞讏躛
衣,(*qɯl),哀依衣扆庡偯
表,(*prawʔ),表裱俵
衰,(*sʰrol),蓑缞衰榱
袁,(*ɢʷan),薳袁園轅猿榬溒遠
褱,(*ɡruːl),瓌櫰褱懷瀤壞蘾
襄,(*snaŋ),囊蠰曩灢儾孃瓤鑲釀瓖驤襄纕忀欀饟攘禳穰躟瀼獽儴蘘鬤勷壤嚷讓懹攮
襾,(*qraːs),賈檟價覀襾
西,(*sɯːl),粞洒西卤卥栖茜哂
要,(*qew),腰要葽喓闄偠騕婹
覃,(*l'ɯːm),鷣撢憛潭譚覃鐔藫橝蟫燂醰禫嘾贉瞫蕈鱏簟驔磹
見,(*keːns),涀莧粯晛筧絸垷挸見俔蜆硯峴哯睍現
規,(*kʷel),嫢規槻鬹摫瞡窺闚
覓,(*meːɡ),覓漞
角,(*kroːɡ),捔桷角埆确斛槲蔛
解,(*kreːʔ),薢解檞懈繲廨蟹獬澥嶰邂
言,(*ŋan),唁這言琂圁誾訔狺
設,(*hljed),設蔎
詹,(*tjam),甔擔儋聸膽黵澹憺瞻詹蟾噡譫幨襜韂贍檐簷舚
誩,(*ɡaŋʔ),誩競
謠,(*lew),搖遙瑤徭鰩媱傜颻窰愮鷂榣嗂猺謠鎐
譶,(*l'uːb),誩譶霅
谷,(*ɦkroːɡ),螸裕容溶鎔蓉傛褣搈瑢嵱熔榕塎谷唂焀俗欲浴鵒峪鋊輍慾
豆,(*doːs),侸剅郖鬪鋀頭豆逗痘梪脰荳浢餖毭豎裋短
豈,(*ŋ̊ʰɯːlʔ),獃剴凱愷塏鎧颽暟闓豈隑皚嵦敳磑螘覬溰顗
豊,(*riːʔ),體軆禮澧醴豊鱧
豐,(*pʰuŋ),豐蘴灃寷麷酆
豔,(*lams),豔灩
豖,(*tʰoɡ),冢塚涿琢啄諑剢瘃豖
豙,(*ŋɯs),豙藙顡毅
豚,(*duːn),豚遯
象,(*ljaŋʔ),潒像象橡蟓襐勨鱌嶑
豩,,燹豳
貝,(*paːds),貝狽鋇浿垻敗唄
貞,(*teŋ),偵幀湞貞楨禎赬遉
負,(*bɯʔ),負萯蝜偩
貴,(*kluds),藬僓頹穨蘈隤墤尵蹪瀢鞼膭憒靧潰繢嬇殨闠簣嘳蕢聵樻䙡匱臾饋櫃遺壝瞶貴
買,(*mreːʔ),買蕒嘪鷶賣
賏,(*qreŋs),瀴甖鸚櫻嚶罌鸎譻賏嬰瓔纓攖蘡癭廮巊
賓,(*mpin),蠙賓檳鑌濱顮儐矉擯殯鬢繽嬪薲獱臏髕
質,(*tids),質躓懫礩櫍劕鑕
賴,(*raːds),賴籟癩瀨藾攋懶嬾獺
贊,(*ʔsaːns),贊趲讚酇饡濽襸攢瓚禶穳囋鑽劗纘儧鄼欑籫巑攅
贏,(*leŋ),嬴瀛籝贏攍
赤,(*kʰljaɡ),浾嚇赦郝赫爀赤烾螫赥捇焃
足,(*ʔsoɡs),足莡捉齪娖浞鋜趗珿哫促
蹋,(*daːb),傝搨蹹榻遢鰨毾塌溻蹋躢闒
身,(*qʰjin),身銵
躬,(*kuŋ),躬匑躳窮藭
車,(*kʰlja),車硨厙庫
軍,(*kun),揮輝翬暉煇楎瀈韗褌鶤緷睴璭瘒顐諢餫渾琿鼲堚鯶軍皸齳喗葷惲賱運暈鄆
輦,(*renʔ),輦鄻攆
辛,(*siŋ),親寴儭瀙辛新薪襯櫬嚫莘騂垶觪
辟,(*peɡ),嬖薜鐾臂譬避檗擘糪掰繴辟璧鐴躄襞僻癖廦擗躃闢壁鼊霹劈澼憵甓鷿幦
辡,(*prenʔ),辬瓣辦辨辡辯辮
辭,(*ljɯ),辤辭
辰,(*djɯn),辴屒振侲桭唇帪賑裖敐震娠蜃辰晨宸鷐麎祳脤鋠磭陙脣漘
辱,(*njoɡ),耨槈鎒搙褥傉辱縟蓐鄏溽媷嗕
農,(*nuːŋ),嶩噥鬞擃齈癑農辳憹膿儂濃醲襛穠檂
追,(*tul),蘬磓塠頧鴭鎚搥縋膇槌追桘巋歸
退,(*n̥ʰuːbs),腿退褪
逐,(*l'ɯwɢ),篴蓫逐鱁
連,(*ren),連漣鰱翴鏈璉僆摙蓮嗹縺
進,(*ʔslins),璡進
遂,(*ljuds),隊邃譢遂隧燧襚旞璲檖澻鐆鐩穟墜
遣,(*kʰenʔ),遣繾譴
遷,(*sʰen),遷櫏韆僊躚蹮
邑,(*qrɯb),唈浥裛俋挹邑悒
邕,(*qoŋ),郺齆甕罋雍邕嗈灉癰廱雝壅饔噰澭擁臃
郤,(*kʰraɡ),腳脚卻却谻郤綌
部,(*boːʔ),部蔀篰
郭,(*kʷaːɡ),郭埻崞椁槨噋廓鞹漷霩
郵,(*ɢʷɯ),郵腄
鄉,(*qʰaŋ),曏鄉薌膷響饗蠁嚮卿
酉,(*luʔ),楢逎遒蝤揂酒媨鞧緧趥酋崷鰌煪醜猶猷輶偤莤蕕庮槱梄丣酉
配,(*pʰɯːds),配嶏
醯,(*qʰeː),橀醯
釁,(*hmrɯns),釁舋亹斖虋璺
采,(*sʰɯːʔ),采睬彩採綵寀菜埰棌
里,(*rɯʔ),埋霾薶榸厘狸貍梩艃里理鯉俚悝娌裏荲
重,(*doŋ),撞幢橦噇𩪘艟憧畽董蕫箽懂湩曈童僮瞳罿犝潼穜動慟堹諥蹱重緟蝩褈鐘鍾籦種腫踵歱喠偅衝揰尰
量,(*raŋ),糧量
釐,(*rɯ),犛釐嫠剺孷漦氂
金,(*krɯm),淦顉金錦欽菳嶔撳捦鵭唫鈙崟趛
長,(*taŋʔ),張餦粻漲長脹痮帳賬倀鼚鋹悵韔萇瓺棖掁
門,(*mɯːn),蔄闅閩蕄門捫悶聞閿問
閉,(*piːds),閉閇
閏,(*njuns),撋瞤潤閏
閑,(*ɡreːn),閑嫻鷴
閒,(*ɡreːn),間簡澗鐧蕑覵襉僩鬜癇瞯憪橌撊
閔,(*mrɯnʔ),憫閔潣簢燘
閵,(*rins),藺閵躪轥
阜,(*buʔ),阜埠
陟,(*tɯɡ),陟騭
陳,(*l'iŋ),陳敶陣
隓,(*hlol),鬌隋墮媠橢嫷毻堶憜惰嶞髓瀡隨隓隳撱
隙,(*kʰraɡ),虩隙
隱,(*qɯnʔ),隱櫽嶾癮懚檼穩
隶,(*lɯds),曃埭逮靆齂棣隸肆蕼肂殔隶
隹,(*tjul),蜼堆嵟碓推蓷陮魋嶊崔猚椎顀隹錐萑騅鵻誰脽
隼,(*sqʰʷinʔ),隼榫准準
雁,(*ŋraːns),雁鳫鴈贗
集,(*zub),雜磼囃鏶穕潗集
雋,(*zonʔ),隽檇臇嶲鐫雋儁寯
雔,(*dju),犨犫雔售讎
雙,(*sroːŋ),雙艭愯㩳
雚,(*koːns),觀灌鸛瓘矔懽爟雚罐鑵歡驩貛酄獾讙嚾權顴孉蠸虇勸
需,(*sno),羺獳擩譳懦糯需繻鑐儒濡襦嚅顬鱬嬬臑醹蠕孺
霍,(*qʰʷaːɡ),靃臛籗霍藿攉矐瀖癨
霝,(*reːŋ),靈霛麢霝醽櫺蘦孁龗酃爧欞
霸,(*praːɡs),壩霸灞欛
非,(*pɯl),啡排俳輫悲棑輩裴徘琲痱非扉緋猆斐馡騑誹餥匪棐蜚篚榧鯡霏菲婔裶悱奜腓陫屝厞翡
面,(*mens),蝒緬湎愐偭勔面麵
革,(*krɯːɡ),革諽緙鞂
韋,(*ɢʷɯl),禕郼褘諱媁幃違圍韋闈湋鍏潿韙煒暐偉瑋葦椲韡愇緯
韰,(*ɡrɯːds),瀣韰薤
韱,(*sem),讖攕櫼懺殲瀸鑯虃籤韯纖孅韱襳
音,(*qrɯm),諳腤嬜喑揞隌罯暗闇黯歆愔韾音瘖窨湆
頃,(*kʰʷeŋ),顈傾頃穎潁熲
須,(*so),盨須鬚嬃蕦
頤,(*lɯ),茝洍姬宧頤弬
頪,(*roːds),蘱纇類頪禷
頻,(*bin),瀕頻顰蘋嚬
顯,(*hŋeːnʔ),顯韅
飛,(*pɯl),飛騛
食,(*lɯɡs),飤食蝕飾飭
飧,(*suːn),飧蕵
養,(*laŋʔ),鯗養癢瀁
首,(*hljuʔ),道導首
香,(*qʰaŋ),香萫
馬,(*mraːʔ),馬碼罵鷌鰢瑪榪傌禡媽
骨,(*kuːd),顝滑猾磆螖鶻嗗骨縎愲蓇尳榾搰核
高,(*kaːw),高膏篙稿稾槁縞暠槀藁燺薧犒蒿藃豪毫壕濠鎬滈鄗鰝薃搞敲髇嗃巐歊謞熇碻塙毃翯瀥
鬥,(*toːɡs),鬥鬭
鬱,(*qud),鬱欝灪爩
鬲,(*kreːɡ),隔膈搹鬲槅嗝虉翮滆蒚鎘
鬳,(*ŋans),獻甗巘讞鬳瓛囐齾钀
鬼,(*kulʔ),謉瑰傀藱魁磈塊嵬隗槐瘣廆溾螝褢騩愧媿聭餽鬼魏巍犩
魚,(*ŋa),蘇穌魚漁䱷
魯,(*raːʔ),魯櫓穭
鮮,(*sen),鮮廯癬蘚
鳥,(*tɯːwʔ),島搗鵃瞗鳥蔦窵
鴇,(*puːʔ),鴇駂
鷹,(*qɯŋ),應鷹膺譍噟
鹵,(*raːʔ),滷鹵樐蓾鏀
鹿,(*b·roːɡ),鄜鹿漉轆簏螰麓騼摝廘蔍鏕
麀,(*qɯw),鏖𤏶麀
麃,(*braːw),藨麃臕鑣儦瀌犥皫
麻,(*mraːl),麻痲犘縻醿爢蘼靡摩魔磨劘麽麼塺麾
黃,(*ɡʷaːŋ),僙廣鄺懬爌曠矌壙纊黃璜潢簧癀鱑獚蟥趪櫎擴瀇獷觵礦鑛穬橫黌鐄嚝彉彍
黑,(*hmlɯːɡ),嚜嫼墨默纆黑潶
黽,(*mlenʔ),澠黽僶繩譝憴鱦蠅鄳鼆
鼎,(*kleːŋʔ),鼎薡濎
鼓,(*kʷaːʔ),皷鼓瞽
鼠,(*hljaʔ),鼠癙
齊,(*zliːl),儕麡齋穧擠躋齏齎櫅齌隮賷虀濟癠霽齊臍蠐懠薺鱭嚌劑齍
龍,(*b·roŋ),驡龐瀧籠豅朧龓聾礱嚨蘢櫳襱瓏曨鸗蠪巃竉攏儱龍躘隴壠壟寵龏
龖,(*l'ɯːb),龖襲
龜,(*kʷɯ),鬮龜
龠,(*lowɢ),讑籲爚禴蘥鑰瀹龠籥鸙
龹,,潫豢勬韏眷桊絭觠飬弮拳卷齤券
