# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M	﻿# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M
# Readings (second column) were added using pykakasi
の	ノ
同居	ドウキョ
専用	センヨウ
いかに	イカニ
憎い	ニクイ
てく	テク
作業員	サギョウイン
刑	ケイ
刺さる	ササル
叔父	オジ
笛	フエ
フラッシュ	フラッシュ
冷やす	ヒヤス
椅子	イス
やばい	ヤバイ
党	トウ
小沢	オザワ
クロス	クロス
数学	スウガク
２月	２ガツ
ストライク	ストライク
忠実	チュウジツ
発進	ハッシン
足跡	ソクセキ
釣る	ツル
ごっこ	ゴッコ
サンプル	サンプル
整う	トトノウ
美樹	ミキ
重力	ジュウリョク
その上	ソノウエ
ちっとも	チットモ
不倫	フリン
乗員	ジョウイン
集会	シュウカイ
フェアリー	フェアリー
令状	レイジョウ
朝鮮	チョウセン
ジェームス	ジェームス
愛人	アイジン
追い込む	オイコム
カメラマン	カメラマン
コンビ	コンビ
タンク	タンク
ブラッド	ブラッド
ロサンゼルス	ロサンゼルス
ワニ	ワニ
最終的	サイシュウテキ
王室	オウシツ
集まり	アツマリ
ビースト	ビースト
ユリ	ユリ
多少	タショウ
ホット	ホット
要望	ヨウボウ
まれ	マレ
悪者	ワルモノ
貴族	キゾク
支払う	シハラウ
見てくれ	ミテクレ
オモチャ	オモチャ
マッチ	マッチ
山ほど	ヤマホド
羨ましい	ウラヤマシイ
話し声	ハナシゴエ
電子音	デンシオン
ガード	ガード
セレブ	セレブ
プリンセス	プリンセス
中佐	チュウサ
仕事中	シゴトチュウ
借り	カリ
発展	ハッテン
相性	アイショウ
紅茶	コウチャ
タフ	タフ
一日中	イチニチジュウ
一言	ヒトコト
味見	アジミ
ごわする	ゴワスル
事前	ジゼン
外国人	ガイコクジン
観る	ミル
はしゃぐ	ハシャグ
構造	コウゾウ
片方	カタホウ
次郎	ジロウ
沢	サワ
舞	マイ
スバル	スバル
もんで	モンデ
下ろせる	クダロセル
誘導	ユウドウ
魔物	マモノ
ストリート	ストリート
京	キョウ
皮膚	ヒフ
アリア	アリア
お姫様	オヒメサマ
ダブル	ダブル
サポート	サポート
てか	テカ
性的	セイテキ
根性	コンジョウ
端	ハジ
かわり	カワリ
くら	クラ
候補者	コウホシャ
巴	トモエ
演出	エンシュツ
眼鏡	メガネ
誰だって	ダレダッテ
Ｔシャツ	Ｔシャツ
はかせ	ハカセ
コーラ	コーラ
ニンニク	ニンニク
みなさん	ミナサン
山下	ヤマシタ
思考	シコウ
コメディアン	コメディアン
しる	シル
前向き	マエムキ
振動	シンドウ
渡	ワタリ
ハズレ	ハズレ
流行	リュウコウ
部門	ブモン
鎖	クサリ
キャー	キャー
ゴルフ	ゴルフ
スーザン	スーザン
せん	セン
働ける	ハタラケル
安藤	アンドウ
援助	エンジョ
ソフィア	ソフィア
なあに	ナアニ
調べ	シラベ
あーあ	アーア
ひつ	ヒツ
もしや	モシヤ
向き	ムキ
イザ	イザ
宮本	ミヤモト
最適	サイテキ
有効	ユウコウ
おばあさん	オバアサン
パタリ	パタリ
レモン	レモン
受け継ぐ	ウケツグ
キャスター	キャスター
げき	ゲキ
娼婦	ショウフ
平等	ビョウドウ
高度	コウド
とり	トリ
ほんで	ホンデ
ちがう	チガウ
ラッセル	ラッセル
所属	ショゾク
春田	ハルダ
昼寝	ヒルネ
順番	ジュンバン
ぬる	ヌル
快適	カイテキ
つまんない	ツマンナイ
出会える	デアエル
吸収	キュウシュウ
天津飯	テンシンハン
滅びる	ホロビル
達人	タツジン
ジャーナリスト	ジャーナリスト
喉	ノド
小学生	ショウガクセイ
くろい	クロイ
名人	メイジン
虐待	ギャクタイ
降ろす	フロス
切れ	キレ
博物館	ハクブツカン
尾	オ
目当て	メアテ
腫瘍	シュヨウ
茶	チャ
飲み込む	ノミコム
夕飯	ユウハン
尽きる	コトゴトキル
富	トミ
微妙	ビミョウ
魅	ミ
つぶす	ツブス
就職	シュウショク
澪	ミオ
デビュー	デビュー
みかん	ミカン
ローン	ローン
入	ニュウ
御堂筋	ミドウスジ
顧問	コモン
弁当	ベントウ
虹	ニジ
そういや	ソウイヤ
平凡	ヘイボン
アイ	アイ
ダーリン	ダーリン
領域	リョウイキ
かがむ	カガム
ぬれる	ヌレル
参加者	サンカシャ
申請	シンセイ
フォン	フォン
ますます	マスマス
ものの	モノノ
坂	サカ
隠し事	カクシゴト
域	イキ
派遣	ハケン
点滴	テンテキ
顔色	カオイロ
に対し	ニタイシ
挑戦者	チョウセンシャ
服装	フクソウ
校	コウ
アクア	アクア
さぁ	サァ
務め	ツトメ
才	サイ
智子	トモコ
飢える	ウエル
服役	フクエキ
お昼	オヒル
さまざま	サマザマ
すける	スケル
中国語	チュウゴクゴ
結界	ケッカイ
クリスタル	クリスタル
セラピー	セラピー
井	イ
内装	ナイソウ
製品	セイヒン
ざま	ザマ
ジュリエット	ジュリエット
ですから	デスカラ
手当て	テアテ
走行	ソウコウ
とぼける	トボケル
可	カ
旦那様	ダンナサマ
頼れる	タヨレル
魔法使い	マホウツカイ
つかさ	ツカサ
史上	シジョウ
成	セイ
日常	ニチジョウ
編集	ヘンシュウ
視線	シセン
閣下	カッカ
一平	イッペイ
慰める	ナグサメル
頭から	アタマカラ
チョウ	チョウ
レッスン	レッスン
値	アタイ
剛	ツヨシ
敗北	ハイボク
瓶	カメ
萌	ホウ
送れる	オクレル
コロンビア	コロンビア
接続	セツゾク
温度	オンド
こん	コン
しくじる	シクジル
桜井	サクライ
ウテナ	ウテナ
カバー	カバー
ダメージ	ダメージ
返済	ヘンサイ
隔離	カクリ
人気者	ニンキモノ
所有	ショユウ
栄養	エイヨウ
繊細	センサイ
製造	セイゾウ
貝	カイ
ありえる	アリエル
おくれる	オクレル
削る	ケズル
左右	サユウ
指名	シメイ
アルベルト	アルベルト
ポップ	ポップ
解決策	カイケツサク
非	ヒ
退学	タイガク
隻	セキ
アーサー	アーサー
うっする	ウッスル
厚い	アツイ
迷子	マイゴ
カーテン	カーテン
つまる	ツマル
召喚	ショウカン
常識	ジョウシキ
種族	シュゾク
絶対に	ゼッタイニ
ペース	ペース
分の１	ブンノイチ
椿	ツバキ
知人	チジン
交わす	マジワス
改装	カイソウ
海兵	カイヘイ
過ごせる	スゴセル
イスラエル	イスラエル
ティー	ティー
右手	ミギテ
士官	シカン
誇る	ホコル
お嬢	オジョウ
幼稚園	ヨウチエン
打ち明ける	ウチアケル
炒める	イタメル
聡	サトシ
ガッカリ	ガッカリ
上品	ジョウヒン
団体	ダンタイ
プラス	プラス
善	ゼン
家出	イエデ
小切手	コギッテ
本部長	ホンブチョウ
福田	フクダ
見え	ミエ
身元	ミモト
お話し	オハナシ
ニセ	ニセ
のり	ノリ
実感	ジッカン
白状	ハクジョウ
風船	フウセン
クモ	クモ
ひざまずく	ヒザマズク
ミー	ミー
未知	ミチ
裏切り	ウラギリ
降参	コウサン
ひざ	ヒザ
まんま	マンマ
楓	モミジ
滞在	タイザイ
無力	ムリョク
現象	ゲンショウ
理論	リロン
いつの間に	イツノマニ
スマホ	スマホ
セブン	セブン
いね	イネ
予選	ヨセン
外傷	ガイショウ
指図	サシズ
美遊	ビユウ
あれだけ	アレダケ
後半	コウハン
消滅	ショウメツ
金髪	キンパツ
風味	フウミ
エイ	エイ
お前さん	オマエサン
ボード	ボード
加工	カコウ
物質	ブッシツ
一撃	イチゲキ
誌	シ
いえいえ	イエイエ
ノーマン	ノーマン
クラ	クラ
不公平	フコウヘイ
砲	ホウ
ジャー	ジャー
丁寧	テイネイ
罪人	ザイニン
連合	レンゴウ
アピール	アピール
アプリ	アプリ
グラン	グラン
つぎ	ツギ
テッド	テッド
出世	シュッセ
加速	カソク
無敵	ムテキ
ゴリラ	ゴリラ
トッド	トッド
美月	ミツキ
潰れる	ツブレル
降伏	コウフク
水中	スイチュウ
麻子	アサコ
チャド	チャド
なるべく	ナルベク
機体	キタイ
遺産	イサン
マルコ	マルコ
ルーカス	ルーカス
宝物	タカラモノ
持ち出す	モチダス
萬田	マンタ
ずるい	ズルイ
トレーニング	トレーニング
ばか	バカ
ほた	ホタ
下る	クダル
圭	ケイ
寸前	スンゼン
忘れ物	ワスレモノ
貧乏	ビンボウ
進歩	シンポ
みゆき	ミユキ
リッチ	リッチ
新入り	シンイリ
酔っ払う	ヨッハラウ
いよ	イヨ
えーと	エート
キヨシ	キヨシ
フック	フック
弓	ユミ
伊藤	イトウ
さやか	サヤカ
俺様	オレサマ
外せる	ハズセル
進行	シンコウ
雫	シズク
ふくしゅう	フクシュウ
棟	トウ
移民	イミン
連れ戻す	ツレモドス
ともだち	トモダチ
ピンチ	ピンチ
構える	カマエル
空っぽ	カラッポ
本能	ホンノウ
いか	イカ
スキー	スキー
バスターズ	バスターズ
初春	ショシュン
弱る	ヨワル
海岸	カイガン
県	ケン
いたずら	イタズラ
フィル	フィル
モーテル	モーテル
弁護	ベンゴ
直ちに	タダチニ
直樹	ナオキ
八木	ヤギ
欲望	ヨクボウ
無理やり	ムリヤリ
別荘	ベッソウ
名字	ミョウジ
飾り	カザリ
スティーブン	スティーブン
サーブ	サーブ
デル	デル
ホレる	ホレル
原稿	ゲンコウ
演説	エンゼツ
ジョンソン	ジョンソン
デビッド	デビッド
朱	シュ
基準	キジュン
キャット	キャット
そらす	ソラス
乗客	ジョウキャク
合宿	ガッシュク
魏	ギ
アカ	アカ
サミー	サミー
レディー	レディー
寮	リョウ
無罪	ムザイ
金城	キンジョウ
っぱなし	ッパナシ
引き取る	ヒキトル
練る	ネル
置ける	オケル
連れ出す	ツレダス
おかけ	オカケ
方々	カタガタ
死にそう	シニソウ
ジャングル	ジャングル
受刑者	ジュケイシャ
缶	カン
ココロ	ココロ
スパイク	スパイク
対戦	タイセン
父ちゃん	トウチャン
経過	ケイカ
シェリル	シェリル
みち子	ミチコ
奉る	マツル
振り回す	フリマワス
ギア	ギア
黒幕	クロマク
ロット	ロット
明確	メイカク
調理	チョウリ
ライター	ライター
トリック	トリック
パッ	パッ
マック	マック
冷える	ヒエル
至急	シキュウ
有能	ユウノウ
調達	チョウタツ
出	シュツ
夕方	ユウガタ
麗子	レイコ
こえる	コエル
ターゲット	ターゲット
デタラメ	デタラメ
収録	シュウロク
甥	オイ
ワイ	ワイ
人魚	ニンギョ
時速	ジソク
隣人	リンジン
ネジ	ネジ
手袋	テブクロ
枕	マクラ
もしくは	モシクハ
画面	ガメン
考え直す	カンガエナオス
追い払う	オイハラウ
コツ	コツ
ブライト	ブライト
眠り	ネムリ
精霊	セイレイ
リンダ	リンダ
子守	コモリ
神殿	シンデン
ちゃーん	チャーン
デッキ	デッキ
警察署	ケイサツショ
台本	ダイホン
持ち帰る	モチカエル
シート	シート
チューブ	チューブ
共	トモ
ガム	ガム
ステップ	ステップ
ストーカー	ストーカー
久住	クジュウ
人種	ジンシュ
回避	カイヒ
あえて	アエテ
例外	レイガイ
兼	ケン
好きなだけ	スキナダケ
房	ボウ
盛る	モル
裕	ヒロシ
アリバイ	アリバイ
地下室	チカシツ
比	ヒ
バード	バード
はめる	ハメル
川島	カワシマ
徐々に	ジョジョニ
警護	ケイゴ
ステ	ステ
一時的	イチジテキ
崩す	クズス
祝い	イワイ
晶	アキ
独特	ドクトク
アマ	アマ
いいところ	イイトコロ
かしこまる	カシコマル
どっちか	ドッチカ
ふふふ	フフフ
まき	マキ
中学生	チュウガクセイ
初対面	ショタイメン
取り引き	トリヒキ
測る	ハカル
お伝え	オツタエ
ヤツ	ヤツ
反乱	ハンラン
見返り	ミカエリ
のる	ノル
主義	シュギ
遥	ハルカ
部活	ブカツ
長原	ナガハラ
ケルベロス	ケルベロス
保存	ホゾン
怜	レイ
琥珀	コハク
癖	クセ
連絡先	レンラクサキ
大半	タイハン
ジーク	ジーク
参考	サンコウ
焼き	ヤキ
持ち	モチ
語	ゴ
チョコレート	チョコレート
値する	アタイスル
晴子	ハルコ
負える	オエル
雛	ヒナ
しだい	シダイ
タイラー	タイラー
泡	アワ
驚かす	オドロカス
夜明け	ヨアケ
小鳥	コトリ
シマ	シマ
ヘタ	ヘタ
ベルリン	ベルリン
免許	メンキョ
共通点	キョウツウテン
翔太	ショウタ
カツ	カツ
将	ショウ
幕	マク
エン	エン
ビッチ	ビッチ
妊婦	ニンプ
柱	ハシラ
チンピラ	チンピラ
捕虜	ホリョ
坊主	ボウズ
つまむ	ツマム
余る	アマル
出入り	デイリ
司令部	シレイブ
津田	ツダ
西田	ニシダ
キノコ	キノコ
ソ連	ソレン
杖	ツエ
ツリー	ツリー
テラスハウス	テラスハウス
上陸	ジョウリク
文明	ブンメイ
いれる	イレル
太一	タイチ
生徒会	セイトカイ
てっきり	テッキリ
合意	ゴウイ
放棄	ホウキ
極秘	ゴクヒ
貫く	ツラヌク
オペレーター	オペレーター
ゴシップ	ゴシップ
到達	トウタツ
監視カメラ	カンシカメラ
網	アミ
見れる	ミレル
覚え	オボエ
シャトル	シャトル
ピート	ピート
和解	ワカイ
当初	トウショ
手間	テマ
斎	サイ
かま	カマ
クラーク	クラーク
ニーナ	ニーナ
ペニー	ペニー
執事	シツジ
葉山	ハヤマ
衛星	エイセイ
にかけて	ニカケテ
パトカー	パトカー
夜空	ヨゾラ
息遣い	イキヅカイ
融合	ユウゴウ
ドロ	ドロ
要するに	ヨウスルニ
デニス	デニス
メーカー	メーカー
当局	トウキョク
騎	キ
かえり	カエリ
ハッキリ	ハッキリ
伯爵	ハクシャク
手嶋	テジマ
櫻子	サクラコ
てこ	テコ
コブ	コブ
当分	トウブン
斉木	サイキ
暖かい	アタタカイ
葬る	ホウムル
国際	コクサイ
徹夜	テツヤ
ブルック	ブルック
傘	カサ
あくまで	アクマデ
キムチ	キムチ
経済	ケイザイ
パリス	パリス
斎藤	サイトウ
沈黙	チンモク
禁じる	キンジル
転校	テンコウ
その代わり	ソノカワリ
やっかい	ヤッカイ
ワールド	ワールド
万歳	バンザイ
山本	ヤマモト
銃弾	ジュウダン
反	ハン
早乙女	サオトメ
無限	ムゲン
たけ	タケ
共感	キョウカン
単位	タンイ
子育て	コソダテ
巫女	ミコ
豊富	ホウフ
選	セン
間もなく	カンモナク
防衛	ボウエイ
早苗	サナエ
梨奈	ナシナ
お先に	オサキニ
ドライバー	ドライバー
ホセ	ホセ
ユーロ	ユーロ
人格	ジンカク
岡村	オカムラ
真琴	マコト
高まる	タカマル
お気の毒	オキノドク
加護	カゴ
現	ゲン
馬車	バシャ
シスコ	シスコ
願	ガン
ジェル	ジェル
ニュー	ニュー
はまる	ハマル
みち	ミチ
先頭	セントウ
威力	イリョク
戸惑う	トマドウ
行い	オコナイ
６つ	６ツ
いただき	イタダキ
一輝	イッキ
墜落	ツイラク
製作	セイサク
送信	ソウシン
乾く	カワク
強引	ゴウイン
新しく	アタラシク
クラクション	クラクション
古城	コジョウ
怪獣	カイジュウ
新作	シンサク
毎朝	マイアサ
観光	カンコウ
遭遇	ソウグウ
ジョナサン	ジョナサン
ばば	ババ
よって	ヨッテ
祖国	ソコク
見直す	ミナオス
グランド	グランド
もめる	モメル
もる	モル
余地	ヨチ
侵入者	シンニュウシャ
先祖	センゾ
柳	ヤナギ
許し	ユルシ
バーベキュー	バーベキュー
不快	フカイ
権	ケン
規制	キセイ
ハム	ハム
大阪	オオサカ
度胸	ドキョウ
陪審員	バイシンイン
ネギ	ネギ
よっぽど	ヨッポド
男の人	オトコノニン
見せつける	ミセツケル
隠れ家	カクレイエ
における	ニオケル
ベーコン	ベーコン
吹雪	フブキ
決勝戦	ケッショウセン
留守電	ルスデン
ラリー	ラリー
リンク	リンク
吹っ飛ぶ	フットブ
士道	サムライミチ
決闘	ケットウ
関	カン
ナス	ナス
仏	ホトケ
感激	カンゲキ
はじ	ハジ
京介	キョウスケ
引き出す	ヒキダス
キース	キース
コーン	コーン
ブス	ブス
生命体	セイメイタイ
装う	ヨソオウ
遼	リョウ
伝	デン
太田	オオタ
深夜	シンヤ
何よりも	ナニヨリモ
出勤	シュッキン
あたり	アタリ
トー	トー
内海	ウツミ
チセ	チセ
整備	セイビ
角度	カクド
いるか	イルカ
お宝	オタカラ
仕上げ	シアゲ
金属	キンゾク
ディス	ディス
マンション	マンション
寝かせる	ネカセル
手首	テクビ
押しつける	オシツケル
牧	マキ
身内	ミウチ
忍者	ニンジャ
案件	アンケン
いこう	イコウ
レディ	レディ
堀尾	ホリオ
いいとこ	イイトコ
元々	モトモト
通路	ツウロ
けが	ケガ
ホーム	ホーム
下品	ゲヒン
起こし	オコシ
フランツ	フランツ
医学	イガク
直感	チョッカン
規模	キボ
鎧	ヨロイ
スイーツ	スイーツ
人組	ニングミ
ぜいたく	ゼイタク
その方	ソノホウ
例える	タトエル
侍	サムライ
図	ズ
自業自得	ジゴウジトク
レナ	レナ
寄せる	ヨセル
検視	ケンシ
歌える	ウタエル
結	ケツ
聖杯	セイハイ
いわゆる	イワユル
ホー	ホー
置き去り	オキザリ
作り話	ツクリハナシ
念	ネン
脇	ワキ
裁判長	サイバンチョウ
開催	カイサイ
お気	オキ
ナイ	ナイ
板	イタ
ためらう	タメラウ
パスポート	パスポート
口論	コウロン
生存者	セイゾンシャ
須藤	スドウ
スキル	スキル
不二	フジ
古代	コダイ
潜る	モグル
ロブ	ロブ
左手	ヒダリテ
白鳥	ハクチョウ
引き継ぐ	ヒキツグ
がち	ガチ
グラム	グラム
デモ	デモ
ホームレス	ホームレス
固まる	カタマル
欠く	カク
リトル	リトル
お方	オホウ
がく	ガク
そろえる	ソロエル
タラ	タラ
ちょっとした	チョットシタ
新田	ニッタ
無謀	ムボウ
ァ	ァ
中国人	チュウゴクジン
と言っても	トイッッテモ
除く	ノゾク
智	サトル
狩	カリ
かなめ	カナメ
スポンジ	スポンジ
びん	ビン
受賞	ジュショウ
滝	タキ
高める	タカメル
コンビニ	コンビニ
マイアミ	マイアミ
一弥	カズヤ
受付	ウケツケ
果て	ハテ
芸人	ゲイニン
アラスカ	アラスカ
敷く	シク
業	ギョウ
ジャム	ジャム
わら	ワラ
捉える	トラエル
紀子	キコ
スピーカー	スピーカー
とかいう	トカイウ
口実	コウジツ
向かい	ムカイ
あつい	アツイ
かばん	カバン
ディレクター	ディレクター
バースデー	バースデー
意図	イト
特訓	トックン
クレイジー	クレイジー
シェリー	シェリー
働き	ハタラキ
戦場ヶ原	センジョウヶハラ
指摘	シテキ
西片	ニシカタ
麦わら	ムギワラ
承る	ウケタマワル
背く	ソムク
陰謀	インボウ
シェパード	シェパード
取り戻せる	トリモドセル
小夜	サヨ
茜	アカネ
辛抱	シンボウ
トス	トス
だんだん	ダンダン
なんてこった	ナンテコッタ
何様	ナニサマ
カート	カート
モノマネ	モノマネ
生じる	ショウジル
豆腐	トウフ
ヴィー	ヴィー
おし	オシ
ハッハッハ	ハッハッハ
仲よく	ナカヨク
沢山	タクサン
インタ	インタ
ケネディ	ケネディ
ワル	ワル
郷子	サトコ
隠せる	カクセル
コネ	コネ
予備	ヨビ
建築	ケンチク
救世主	キュウセイシュ
ヴァン	ヴァン
ハット	ハット
ツキ	ツキ
免れる	マヌカレル
着信	チャクシン
長谷	ハセ
駆けつける	カケツケル
駒	コマ
おいら	オイラ
コンピュータ	コンピュータ
団結	ダンケツ
げー	ゲー
ワイルド	ワイルド
射撃	シャゲキ
餃子	ギョウザ
キャリー	キャリー
じじい	ジジイ
ハンマー	ハンマー
救急	キュウキュウ
明智	アケチ
汁	シル
たどり着く	タドリツク
つえ	ツエ
いたる	イタル
合計	ゴウケイ
拉致	ラチ
方針	ホウシン
香水	コウスイ
かえる	カエル
ストレート	ストレート
バーン	バーン
片	ヘン
直せる	ナオセル
身分	ミブン
進んで	ススンデ
うっかり	ウッカリ
カモ	カモ
コリン	コリン
ダイアン	ダイアン
パンク	パンク
慶	ヨシ
月島	ガツシマ
芸術家	ゲイジュツカ
売り上げ	ウリアゲ
膝	ヒザ
抱きしめる	ダキシメル
潜む	ヒソム
たくらむ	タクラム
たんす	タンス
税金	ゼイキン
フェア	フェア
克服	コクフク
寿	ヒサシ
盗み	ヌスミ
荒れる	アレル
高価	コウカ
たどる	タドル
ベア	ベア
募集	ボシュウ
千代	チヨ
氷室	ヒムロ
沙都子	サトコ
現す	アラワス
録画	ロクガ
工事	コウジ
ジェス	ジェス
ソル	ソル
内側	ウチガワ
投与	トウヨ
達す	タッス
子犬	コイヌ
招待状	ショウタイジョウ
時刻	ジコク
女の人	オンナノヒト
由乃	ユノ
睡眠	スイミン
イマイチ	イマイチ
いまだに	イマダニ
エミ	エミ
でく	デク
落	ラク
率直	ソッチョク
脱走	ダッソウ
貸し	カシ
いとう	イトウ
おきる	オキル
オシャレ	オシャレ
コイン	コイン
ナチス	ナチス
めでたい	メデタイ
取り除く	トリノゾク
さがす	サガス
亜美	アミ
収容	シュウヨウ
幼なじみ	ヨウナジミ
放る	ホウル
零	レイ
大切な人	タイセツナニン
肝臓	カンゾウ
高速	コウソク
エージェント	エージェント
サニー	サニー
セミ	セミ
差し出す	サシダス
巻島	カンシマ
毛布	モウフ
こっから	コッカラ
のんびり	ノンビリ
売春婦	バイシュンフ
手伝える	テツダエル
誰にでも	ダレニデモ
マンガ	マンガ
凶暴	キョウボウ
ノン	ノン
包丁	ホウチョウ
料理人	リョウリニン
気合い	キアイ
総統	ソウトウ
傭兵	ヨウヘイ
神聖	シンセイ
くしゃみ	クシャミ
さんま	サンマ
正人	マサヒト
楽園	ラクエン
イングランド	イングランド
オール	オール
わがまま	ワガママ
容体	ヨウタイ
山口	ヤマグチ
推薦	スイセン
記念日	キネンビ
人口	ジンコウ
急用	キュウヨウ
意地	イジ
等	ナド
身体	シンタイ
遠藤	エンドウ
けつ	ケツ
スカート	スカート
せきこむ	セキコム
ミニ	ミニ
ムチ	ムチ
われ	ワレ
独自	ドクジ
キャンセル	キャンセル
嫌がらせ	イヤガラセ
役人	ヤクニン
アヒル	アヒル
ひで	ヒデ
運営	ウンエイ
唱える	トナエル
清水	シミズ
ガソリン	ガソリン
サツ	サツ
ショット	ショット
ヒカリ	ヒカリ
大学生	ダイガクセイ
布団	フトン
泰	ヤスシ
車内	シャナイ
野生	ヤセイ
オスカー	オスカー
状	ジョウ
たか	タカ
タワー	タワー
ちん	チン
へえー	ヘエー
冠	カン
打ち合わせ	ウチアワセ
類	ルイ
飛び降りる	トビオリル
チュン	チュン
ピエロ	ピエロ
ヒップホップ	ヒップホップ
その頃	ソノゴロ
偏見	ヘンケン
優勝者	ユウショウシャ
反対側	ハンタイガワ
特技	トクギ
口説く	クドク
アンドリュー	アンドリュー
写る	ウツル
カルテル	カルテル
ボトル	ボトル
小娘	コムスメ
我が国	ワガクニ
ジジイ	ジジイ
つなげる	ツナゲル
供述	キョウジュツ
制限	セイゲン
カリ	カリ
これぞ	コレゾ
ナオミ	ナオミ
みこ	ミコ
女将	ジョショウ
途端	トタン
あずさ	アズサ
かよ	カヨ
キリ	キリ
スズ	スズ
すすり泣き	ススリナキ
すべ	スベ
添える	ソエル
清	キヨシ
説	セツ
ボーン	ボーン
ほほ	ホホ
伊織	イオリ
寿命	ジュミョウ
頂点	チョウテン
フード	フード
浅い	アサイ
立ち入り禁止	タチイリキンシ
いつの間にか	イツノマニカ
スイス	スイス
何となく	ナントナク
作り出す	ツクリダス
政権	セイケン
落下	ラッカ
言い出す	イイダス
踊れる	オドレル
いくらでも	イクラデモ
トランク	トランク
ランプ	ランプ
レーザー	レーザー
点数	テンスウ
誘い	サソイ
趙	チョウ
通称	ツウショウ
セーフ	セーフ
秩序	チツジョ
クロウ	クロウ
しんのすけ	シンノスケ
スレイヤー	スレイヤー
自分勝手	ジブンカッテ
かな	カナ
キリスト	キリスト
一晩中	ヒトバンジュウ
弦	ゲン
勝ち目	カチメ
お仕置き	オシオキ
くむ	クム
バッジ	バッジ
ホスト	ホスト
ポン	ポン
放題	ホウダイ
がい	ガイ
リナ	リナ
価格	カカク
こなす	コナス
ブリー	ブリー
差し上げる	サシアゲル
イブ	イブ
ウイスキー	ウイスキー
シド	シド
ヒト	ヒト
ヘルメット	ヘルメット
やめ	ヤメ
乗っ取る	ノットル
井戸	イド
引き渡す	ヒキワタス
早めに	ハヤメニ
経営者	ケイエイシャ
ブログ	ブログ
みや	ミヤ
仕組み	シクミ
治	オサム
玄	ゲン
アルファ	アルファ
ジル	ジル
チャンネル	チャンネル
幸福	コウフク
挑発	チョウハツ
放課後	ホウカゴ
明朝	ミョウチョウ
片づけ	カタヅケ
発想	ハッソウ
どういたしまして	ドウイタシマシテ
ファニー	ファニー
思わず	オモワズ
撤回	テッカイ
きっちり	キッチリ
フランス語	フランスゴ
数々	カズカズ
楽器	ガッキ
やり遂げる	ヤリトゲル
暴動	ボウドウ
そうして	ソウシテ
はいる	ハイル
懸かる	カカル
染める	ソメル
誇らしい	ホコラシイ
都会	トカイ
ナタリー	ナタリー
ひめる	ヒメル
万が一	マンガイチ
打てる	ウテル
瑞希	ズイマレ
背後	ハイゴ
補給	ホキュウ
２番目	２バンメ
さんざん	サンザン
ブザー	ブザー
中断	チュウダン
崖	ガケ
手順	テジュン
欧州	オウシュウ
痛める	イタメル
ドーン	ドーン
わが	ワガ
共通	キョウツウ
商人	ショウニン
汚染	オセン
開	カイ
開店	カイテン
スプーン	スプーン
とがめる	トガメル
号線	ゴウセン
圧倒的	アットウテキ
日曜日	ニチヨウビ
賢明	ケンメイ
会員	カイイン
沼	ヌマ
龍彦	タツヒコ
アブ	アブ
失せろ	ウセロ
照らす	テラス
ニワトリ	ニワトリ
巻	カン
思いやり	オモイヤリ
思い込む	オモイコム
知世	トモヨ
試みる	ココロミル
講義	コウギ
グラント	グラント
ゆかり	ユカリ
嶋	シマ
通知	ツウチ
テンション	テンション
わーい	ワーイ
上田	ウエダ
化粧	ケショウ
戦力	センリョク
率	リツ
親指	オヤユビ
兄様	アニサマ
呼び出し音	ヨビダシオト
小宇宙	ショウウチュウ
砕く	クダク
酔っ払い	ヨッハライ
ご注文	ゴチュウモン
カウンター	カウンター
キュア	キュア
とともに	トトモニ
放火	ホウカ
発つ	タツ
サー	サー
大陸	タイリク
押して	オシテ
閉店	ヘイテン
おしゃれ	オシャレ
カナ	カナ
子分	コブン
感謝祭	カンシャサイ
殺人鬼	サツジンキ
絶好調	ゼッコウチョウ
コナー	コナー
ハッパ	ハッパ
ぶっ飛ばす	ブットバス
レーダー	レーダー
対立	タイリツ
手掛かり	テガカリ
抜群	バツグン
渡辺	ワタナベ
王宮	オウキュウ
読書	ドクショ
あゆみ	アユミ
インターハイ	インターハイ
それなり	ソレナリ
人材	ジンザイ
固める	カタメル
差す	サス
役員	ヤクイン
鑑識	カンシキ
青木	アオキ
オーバー	オーバー
ご褒美	ゴホウビ
スケジュール	スケジュール
渋滞	ジュウタイ
輝き	カガヤキ
コンセプト	コンセプト
ルカ	ルカ
治療法	チリョウホウ
ストーリー	ストーリー
なるみ	ナルミ
ニンジン	ニンジン
リボン	リボン
万全	バンゼン
上位	ジョウイ
力強い	チカラヅヨイ
欠点	ケッテン
聞かす	キカス
およそ	オヨソ
どす	ドス
ポスター	ポスター
主婦	シュフ
口出し	クチダシ
川谷	カワタニ
オイル	オイル
スカウト	スカウト
セントラル	セントラル
フェニックス	フェニックス
産業	サンギョウ
パーツ	パーツ
ひらめく	ヒラメク
まみれ	マミレ
地球人	チキュウジン
掟	オキテ
広まる	ヒロマル
考慮	コウリョ
膨らむ	フクラム
込み	コミ
郊外	コウガイ
あんだ	アンダ
ピッ	ピッ
ロード	ロード
白雪	シラユキ
チェーン	チェーン
乱れる	ミダレル
土曜日	ドヨウビ
委員	イイン
枠	ワク
要	ヨウ
